POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G.1,GS,IP,K/9,BB/9,HR/9,BABIP.1,LOB%,GB%,ERA,FIP,WAR.1,Draft_POS
Batter,Joey Ortiz,MIL,126.0,480,10.0,53.0,49.0,12.0,7.70%,16.90%,0.133,0.284,0.25,0.313,0.383,0.305,95.0,0.8,-1.9,5.5,2.0,,,,,,,,,,,,,,,,Util
Batter,Seiya Suzuki,CHC,120.0,529,22.0,68.0,71.0,6.0,10.50%,25.30%,0.2,0.308,0.254,0.335,0.454,0.34,121.0,-1.0,11.9,-10.0,2.0,,,,,,,,,,,,,,,,Util
Batter,Jung Hoo Lee,SFG,111.0,470,8.0,52.0,51.0,8.0,7.70%,11.40%,0.137,0.294,0.273,0.334,0.411,0.324,110.0,0.5,6.2,-2.4,2.0,,,,,,,,,,,,,,,,Util
Batter,Nolan Arenado,ARI,124.0,531,17.0,60.0,69.0,3.0,7.00%,14.80%,0.159,0.274,0.257,0.313,0.416,0.314,100.0,-0.9,-0.9,2.6,2.0,,,,,,,,,,,,,,,,Util
Batter,Anthony Volpe,NYY,104.0,429,13.0,50.0,48.0,16.0,7.90%,23.60%,0.168,0.276,0.231,0.296,0.399,0.302,94.0,1.5,-1.6,6.1,2.0,,,,,,,,,,,,,,,,Util
Batter,Colt Keith,DET,112.0,489,15.0,58.0,58.0,4.0,9.40%,19.90%,0.168,0.304,0.263,0.335,0.43,0.332,113.0,0.3,7.8,-5.5,2.0,,,,,,,,,,,,,,,,Util
Batter,Miguel Vargas,CHW,113.0,492,15.0,57.0,56.0,6.0,11.10%,19.40%,0.167,0.27,0.238,0.329,0.405,0.323,107.0,-0.4,3.4,-1.3,1.9,,,,,,,,,,,,,,,,Util
Batter,Jarren Duran,BOS,128.0,577,15.0,74.0,65.0,20.0,8.10%,23.50%,0.179,0.32,0.258,0.326,0.437,0.33,107.0,3.2,8.2,-9.2,1.9,,,,,,,,,,,,,,,,Util
Batter,TJ Friedl,CIN,111.0,512,14.0,67.0,48.0,10.0,10.20%,17.10%,0.146,0.28,0.249,0.34,0.396,0.325,104.0,0.3,2.5,-1.0,1.9,,,,,,,,,,,,,,,,Util
Batter,Jorge Polanco,NYM,109.0,469,20.0,58.0,63.0,5.0,9.80%,20.60%,0.19,0.276,0.248,0.326,0.438,0.331,116.0,-0.8,8.1,-5.9,1.8,,,,,,,,,,,,,,,,Util
Batter,Brandon Lowe,PIT,109.0,489,22.0,63.0,63.0,4.0,8.30%,25.50%,0.2,0.286,0.243,0.311,0.443,0.325,106.0,-0.7,3.0,-1.6,1.8,,,,,,,,,,,,,,,,Util
Batter,Jeff McNeil,ATH,123.0,484,11.0,55.0,53.0,4.0,8.00%,12.80%,0.143,0.284,0.264,0.334,0.407,0.323,104.0,-1.6,0.7,0.1,1.8,,,,,,,,,,,,,,,,Util
Batter,Wilyer Abreu,BOS,102.0,430,18.0,55.0,57.0,7.0,11.10%,24.50%,0.203,0.296,0.25,0.336,0.453,0.339,114.0,-0.3,6.8,-4.1,1.8,,,,,,,,,,,,,,,,Util
Batter,Max Muncy,LAD,86.0,351,16.0,45.0,45.0,2.0,14.80%,25.00%,0.213,0.255,0.222,0.346,0.435,0.34,119.0,-1.2,6.8,-1.1,1.8,,,,,,,,,,,,,,,,Util
Batter,Evan Carter,TEX,93.0,367,10.0,44.0,41.0,14.0,10.50%,21.70%,0.163,0.291,0.244,0.333,0.407,0.324,109.0,0.6,4.6,0.1,1.8,,,,,,,,,,,,,,,,Util
Batter,Carlos Narváez,BOS,88.0,339,10.0,39.0,37.0,3.0,10.00%,26.00%,0.156,0.291,0.232,0.315,0.387,0.309,93.0,-0.6,-3.4,7.4,1.8,,,,,,,,,,,,,,,,Util
Batter,Josh Smith,TEX,111.0,475,10.0,54.0,47.0,8.0,9.60%,18.90%,0.129,0.288,0.246,0.331,0.375,0.312,101.0,-0.2,0.3,0.4,1.7,,,,,,,,,,,,,,,,Util
Batter,Hunter Goodman,COL,108.0,469,24.0,60.0,71.0,2.0,5.90%,25.40%,0.233,0.294,0.255,0.304,0.488,0.337,103.0,-0.6,1.0,-0.1,1.7,,,,,,,,,,,,,,,,Util
Batter,Lawrence Butler,ATH,113.0,480,19.0,60.0,57.0,16.0,8.80%,25.40%,0.189,0.295,0.245,0.313,0.434,0.324,105.0,1.4,4.0,-3.7,1.7,,,,,,,,,,,,,,,,Util
Batter,Randy Arozarena,SEA,147.0,631,21.0,77.0,74.0,21.0,9.90%,26.60%,0.17,0.293,0.233,0.329,0.403,0.322,113.0,-0.6,9.1,-14.0,1.7,,,,,,,,,,,,,,,,Util
Batter,Lars Nootbaar,STL,102.0,445,14.0,55.0,47.0,6.0,12.40%,20.10%,0.162,0.289,0.249,0.345,0.41,0.331,115.0,0.0,7.8,-6.0,1.7,,,,,,,,,,,,,,,,Util
Batter,Addison Barger,TOR,103.0,439,17.0,53.0,59.0,3.0,8.70%,23.80%,0.191,0.295,0.249,0.319,0.439,0.327,110.0,-0.5,4.8,-3.3,1.7,,,,,,,,,,,,,,,,Util
Batter,Daulton Varsho,TOR,117.0,519,23.0,66.0,65.0,7.0,8.00%,25.70%,0.204,0.263,0.226,0.293,0.43,0.311,99.0,0.0,-0.3,-1.2,1.7,,,,,,,,,,,,,,,,Util
Batter,Brayan Rocchio,CLE,103.0,393,8.0,43.0,39.0,10.0,8.50%,18.60%,0.135,0.281,0.242,0.315,0.377,0.305,96.0,-0.1,-2.1,4.7,1.7,,,,,,,,,,,,,,,,Util
Batter,Ernie Clement,TOR,118.0,467,9.0,51.0,52.0,7.0,4.60%,10.00%,0.13,0.287,0.274,0.311,0.404,0.31,99.0,0.3,-0.5,0.5,1.6,,,,,,,,,,,,,,,,Util
Batter,Josh Jung,TEX,105.0,431,16.0,47.0,53.0,4.0,5.50%,25.20%,0.172,0.309,0.254,0.3,0.426,0.313,102.0,-1.2,-0.3,1.4,1.6,,,,,,,,,,,,,,,,Util
Batter,Konnor Griffin,PIT,89.0,360,9.0,41.0,39.0,15.0,6.70%,23.80%,0.135,0.324,0.259,0.319,0.394,0.312,98.0,0.5,-0.5,4.4,1.6,,,,,,,,,,,,,,,,Util
Batter,Jake Meyers,HOU,103.0,398,9.0,45.0,42.0,11.0,8.00%,20.90%,0.133,0.304,0.253,0.32,0.386,0.311,99.0,0.6,0.2,2.1,1.6,,,,,,,,,,,,,,,,Util
Batter,Salvador Perez,KCR,131.0,563,26.0,68.0,83.0,0.0,5.00%,20.10%,0.199,0.278,0.256,0.303,0.454,0.322,104.0,-3.3,-0.9,2.5,1.6,,,,,,,,,,,,,,,,Util
Batter,Luis García Jr.,WSN,102.0,423,14.0,47.0,52.0,12.0,5.50%,15.40%,0.165,0.296,0.274,0.316,0.439,0.325,108.0,0.0,4.0,-2.4,1.6,,,,,,,,,,,,,,,,Util
Batter,Brooks Lee,MIN,111.0,434,13.0,49.0,50.0,4.0,6.70%,16.70%,0.153,0.276,0.252,0.306,0.405,0.309,96.0,-0.8,-2.7,3.4,1.6,,,,,,,,,,,,,,,,Util
Batter,Matt McLain,CIN,110.0,484,15.0,60.0,51.0,13.0,9.70%,27.50%,0.156,0.301,0.234,0.316,0.39,0.311,93.0,0.4,-3.3,2.7,1.6,,,,,,,,,,,,,,,,Util
Batter,Luis Robert Jr.,NYM,115.0,489,18.0,58.0,60.0,26.0,7.30%,28.80%,0.17,0.295,0.232,0.295,0.402,0.301,95.0,0.7,-2.3,1.6,1.6,,,,,,,,,,,,,,,,Util
Batter,Carson Kelly,CHC,81.0,319,11.0,36.0,37.0,1.0,9.20%,20.50%,0.159,0.268,0.236,0.314,0.396,0.311,100.0,-1.1,-1.0,7.6,1.6,,,,,,,,,,,,,,,,Util
Batter,Sal Frelick,MIL,108.0,457,8.0,51.0,47.0,13.0,8.30%,14.40%,0.119,0.304,0.271,0.337,0.39,0.32,106.0,0.7,3.7,-3.6,1.6,,,,,,,,,,,,,,,,Util
Batter,Daylen Lile,WSN,116.0,495,11.0,56.0,60.0,13.0,6.70%,17.40%,0.159,0.31,0.271,0.326,0.43,0.327,110.0,0.6,6.4,-7.7,1.6,,,,,,,,,,,,,,,,Util
Batter,Mike Trout,LAA,93.0,418,19.0,56.0,51.0,3.0,13.20%,30.60%,0.211,0.299,0.232,0.341,0.443,0.337,116.0,-1.0,6.8,-6.2,1.5,,,,,,,,,,,,,,,,Util
Batter,Jo Adell,LAA,113.0,460,26.0,56.0,66.0,7.0,7.00%,26.90%,0.234,0.271,0.237,0.3,0.471,0.33,110.0,-0.4,5.3,-6.2,1.5,,,,,,,,,,,,,,,,Util
Batter,Colton Cowser,BAL,102.0,405,16.0,48.0,49.0,10.0,9.80%,30.90%,0.182,0.303,0.23,0.313,0.412,0.316,103.0,0.4,2.0,-1.1,1.5,,,,,,,,,,,,,,,,Util
Batter,Matt Wallner,MIN,96.0,410,19.0,52.0,56.0,4.0,10.70%,30.90%,0.219,0.296,0.229,0.329,0.448,0.337,116.0,-0.7,7.0,-6.3,1.5,,,,,,,,,,,,,,,,Util
Batter,Carter Jensen,KCR,77.0,308,10.0,35.0,36.0,3.0,10.10%,24.60%,0.174,0.305,0.248,0.327,0.421,0.326,106.0,-0.2,1.8,2.1,1.5,,,,,,,,,,,,,,,,Util
Batter,Jonathan India,KCR,111.0,474,11.0,55.0,46.0,5.0,10.30%,19.00%,0.139,0.291,0.248,0.34,0.388,0.323,104.0,-0.1,2.0,-3.8,1.5,,,,,,,,,,,,,,,,Util
Batter,Cole Young,SEA,90.0,341,6.0,38.0,33.0,5.0,10.30%,17.30%,0.126,0.28,0.243,0.329,0.368,0.31,104.0,-0.1,1.7,1.0,1.5,,,,,,,,,,,,,,,,Util
Batter,Trevor Story,BOS,109.0,482,17.0,59.0,57.0,17.0,6.00%,26.70%,0.167,0.308,0.247,0.298,0.414,0.308,92.0,1.2,-3.1,0.8,1.5,,,,,,,,,,,,,,,,Util
Batter,Jonathan Aranda,TBR,106.0,472,16.0,60.0,55.0,2.0,10.70%,26.50%,0.171,0.328,0.257,0.346,0.428,0.338,116.0,-2.1,6.9,-9.0,1.5,,,,,,,,,,,,,,,,Util
Batter,Jake Burger,TEX,118.0,503,25.0,61.0,74.0,2.0,5.70%,24.80%,0.21,0.285,0.248,0.3,0.458,0.325,110.0,-0.7,5.1,-8.3,1.4,,,,,,,,,,,,,,,,Util
Batter,Teoscar Hernández,LAD,133.0,548,26.0,69.0,80.0,6.0,6.60%,26.40%,0.206,0.305,0.255,0.31,0.461,0.33,112.0,-1.2,6.9,-11.0,1.4,,,,,,,,,,,,,,,,Util
Batter,Bryan Reynolds,PIT,136.0,606,20.0,72.0,74.0,5.0,8.60%,24.40%,0.168,0.311,0.254,0.325,0.422,0.325,106.0,-0.6,3.9,-10.0,1.4,,,,,,,,,,,,,,,,Util
Batter,J.T. Realmuto,PHI,98.0,392,12.0,43.0,45.0,5.0,6.50%,24.10%,0.155,0.3,0.246,0.304,0.4,0.306,93.0,-0.5,-3.5,9.6,1.4,,,,,,,,,,,,,,,,Util
Batter,Willson Contreras,BOS,105.0,456,19.0,58.0,62.0,4.0,9.60%,25.40%,0.198,0.301,0.248,0.338,0.447,0.341,115.0,-1.2,7.0,-8.9,1.4,,,,,,,,,,,,,,,,Util
Batter,Heliot Ramos,SFG,123.0,537,19.0,64.0,66.0,6.0,7.80%,24.10%,0.172,0.309,0.256,0.323,0.428,0.326,111.0,-0.8,6.2,-10.3,1.4,,,,,,,,,,,,,,,,Util
Batter,Ha-Seong Kim,ATL,89.0,361,8.0,41.0,37.0,13.0,10.90%,18.40%,0.13,0.284,0.245,0.332,0.374,0.312,99.0,0.5,0.0,1.7,1.4,,,,,,,,,,,,,,,,Util
Batter,Sal Stewart,CIN,97.0,416,15.0,51.0,57.0,6.0,8.50%,19.10%,0.182,0.305,0.271,0.337,0.452,0.342,115.0,-0.3,7.1,-7.4,1.4,,,,,,,,,,,,,,,,Util
Batter,Christian Yelich,MIL,109.0,476,16.0,58.0,60.0,12.0,11.10%,23.90%,0.166,0.316,0.258,0.345,0.424,0.334,115.0,1.2,9.7,-12.0,1.4,,,,,,,,,,,,,,,,Util
Batter,Chase DeLauter,CLE,115.0,471,14.0,50.0,51.0,3.0,9.40%,18.90%,0.156,0.287,0.251,0.325,0.407,0.321,107.0,-0.6,3.1,-5.9,1.4,,,,,,,,,,,,,,,,Util
Batter,Kyle Teel,CHW,74.0,313,9.0,35.0,33.0,4.0,11.10%,25.10%,0.141,0.314,0.248,0.336,0.388,0.321,105.0,-0.4,1.5,0.4,1.3,,,,,,,,,,,,,,,,Util
Batter,Nick Gonzales,PIT,91.0,368,7.0,39.0,40.0,3.0,6.50%,20.10%,0.137,0.316,0.263,0.318,0.401,0.313,98.0,-0.3,-1.1,1.8,1.3,,,,,,,,,,,,,,,,Util
Batter,Kerry Carpenter,DET,93.0,422,20.0,57.0,54.0,3.0,6.60%,23.70%,0.219,0.29,0.254,0.311,0.473,0.335,115.0,-0.6,6.8,-8.4,1.3,,,,,,,,,,,,,,,,Util
Batter,Justin Crawford,PHI,97.0,363,5.0,42.0,35.0,18.0,7.60%,20.80%,0.109,0.328,0.267,0.325,0.376,0.309,95.0,1.2,-0.8,1.5,1.3,,,,,,,,,,,,,,,,Util
Batter,Spencer Horwitz,PIT,96.0,399,10.0,46.0,44.0,2.0,12.00%,18.30%,0.151,0.307,0.264,0.359,0.416,0.34,117.0,-1.0,6.9,-7.4,1.3,,,,,,,,,,,,,,,,Util
Batter,Willi Castro,COL,116.0,509,12.0,61.0,52.0,13.0,7.90%,22.50%,0.146,0.308,0.251,0.326,0.397,0.317,89.0,0.4,-6.0,1.7,1.3,,,,,,,,,,,,,,,,Util
Batter,Kyle Manzardo,CLE,96.0,415,20.0,51.0,58.0,2.0,10.30%,23.60%,0.216,0.267,0.236,0.322,0.453,0.334,116.0,-0.6,7.1,-8.8,1.3,,,,,,,,,,,,,,,,Util
Batter,Pedro Pagés,STL,69.0,270,8.0,27.0,29.0,1.0,7.00%,25.30%,0.143,0.285,0.231,0.29,0.373,0.29,86.0,-0.7,-5.2,5.4,1.3,,,,,,,,,,,,,,,,Util
Batter,Brenton Doyle,COL,119.0,484,16.0,55.0,56.0,17.0,6.50%,26.50%,0.163,0.306,0.245,0.297,0.408,0.305,81.0,1.1,-9.7,5.9,1.3,,,,,,,,,,,,,,,,Util
Batter,Jac Caglianone,KCR,94.0,391,17.0,48.0,54.0,2.0,7.60%,21.10%,0.199,0.286,0.256,0.32,0.454,0.333,111.0,-0.4,4.5,-5.7,1.3,,,,,,,,,,,,,,,,Util
Batter,Brandon Marsh,PHI,102.0,408,11.0,46.0,45.0,9.0,9.90%,28.30%,0.153,0.337,0.252,0.329,0.405,0.321,104.0,0.4,2.3,-3.6,1.3,,,,,,,,,,,,,,,,Util
Batter,Agustín Ramírez,MIA,96.0,422,17.0,51.0,56.0,10.0,7.50%,19.10%,0.192,0.274,0.25,0.312,0.442,0.325,107.0,-0.2,3.2,-5.8,1.3,,,,,,,,,,,,,,,,Util
Batter,Harrison Bader,SFG,101.0,398,11.0,43.0,43.0,11.0,6.30%,23.70%,0.141,0.304,0.248,0.305,0.389,0.303,96.0,0.1,-1.9,0.6,1.2,,,,,,,,,,,,,,,,Util
Batter,Jacob Young,WSN,89.0,337,4.0,35.0,29.0,18.0,7.00%,18.50%,0.09,0.305,0.253,0.314,0.343,0.292,86.0,1.7,-4.1,4.8,1.2,,,,,,,,,,,,,,,,Util
Batter,Ryan McMahon,NYY,101.0,408,14.0,45.0,45.0,3.0,11.30%,32.20%,0.162,0.286,0.211,0.304,0.373,0.298,91.0,-0.4,-4.8,2.7,1.2,,,,,,,,,,,,,,,,Util
Batter,Ryan O'Hearn,PIT,106.0,447,13.0,52.0,55.0,3.0,9.00%,18.40%,0.157,0.307,0.269,0.34,0.426,0.333,112.0,-1.2,5.0,-8.1,1.2,,,,,,,,,,,,,,,,Util
Batter,Eugenio Suárez,CIN,135.0,563,32.0,72.0,83.0,3.0,8.50%,29.50%,0.237,0.277,0.234,0.31,0.471,0.335,110.0,-2.1,4.6,-11.6,1.2,,,,,,,,,,,,,,,,Util
Batter,Luis Torrens,NYM,51.0,202,6.0,22.0,22.0,1.0,6.70%,22.50%,0.147,0.285,0.239,0.296,0.387,0.298,93.0,-0.3,-1.9,5.9,1.2,,,,,,,,,,,,,,,,Util
Batter,Samuel Basallo,BAL,89.0,364,16.0,43.0,47.0,2.0,8.30%,24.30%,0.197,0.279,0.241,0.309,0.438,0.322,108.0,-0.4,2.9,-2.8,1.2,,,,,,,,,,,,,,,,Util
Batter,Jared Triolo,PIT,102.0,415,8.0,43.0,39.0,11.0,10.80%,23.20%,0.119,0.305,0.241,0.328,0.36,0.307,94.0,0.1,-3.0,0.9,1.2,,,,,,,,,,,,,,,,Util
Batter,Kyle Stowers,MIA,92.0,389,16.0,47.0,50.0,3.0,9.50%,28.40%,0.199,0.303,0.241,0.32,0.44,0.328,109.0,-0.2,3.9,-5.3,1.2,,,,,,,,,,,,,,,,Util
Batter,Spencer Torkelson,DET,135.0,570,23.0,67.0,72.0,2.0,11.00%,26.30%,0.197,0.275,0.228,0.32,0.425,0.323,106.0,-0.6,3.7,-12.0,1.2,,,,,,,,,,,,,,,,Util
Batter,Sean Murphy,ATL,78.0,316,12.0,36.0,38.0,1.0,9.90%,27.10%,0.182,0.267,0.219,0.31,0.401,0.311,98.0,-0.5,-1.1,0.9,1.2,,,,,,,,,,,,,,,,Util
Batter,Mark Vientos,NYM,103.0,432,20.0,53.0,60.0,1.0,7.50%,26.00%,0.208,0.294,0.248,0.31,0.456,0.33,115.0,-1.2,6.4,-9.5,1.2,,,,,,,,,,,,,,,,Util
Batter,Parker Meadows,DET,104.0,412,10.0,45.0,42.0,10.0,9.50%,25.20%,0.149,0.287,0.228,0.304,0.377,0.299,90.0,0.6,-4.3,1.3,1.1,,,,,,,,,,,,,,,,Util
Batter,Josh Bell,MIN,110.0,487,18.0,61.0,59.0,2.0,10.40%,19.00%,0.177,0.28,0.252,0.335,0.429,0.333,113.0,-1.8,5.6,-11.2,1.1,,,,,,,,,,,,,,,,Util
Batter,Ke'Bryan Hayes,CIN,109.0,425,9.0,45.0,42.0,9.0,6.90%,20.20%,0.119,0.296,0.249,0.305,0.368,0.295,83.0,0.4,-8.4,5.3,1.1,,,,,,,,,,,,,,,,Util
Batter,Connor Norby,MIA,114.0,442,13.0,49.0,49.0,8.0,7.40%,27.10%,0.155,0.308,0.241,0.303,0.397,0.305,93.0,-0.3,-3.8,0.1,1.1,,,,,,,,,,,,,,,,Util
Batter,Victor Scott II,STL,111.0,420,7.0,45.0,37.0,26.0,8.00%,21.90%,0.101,0.281,0.227,0.298,0.328,0.28,79.0,2.6,-7.6,4.5,1.1,,,,,,,,,,,,,,,,Util
Batter,Tommy Edman,LAD,80.0,324,9.0,37.0,38.0,6.0,6.50%,17.70%,0.151,0.279,0.25,0.305,0.401,0.308,97.0,0.3,-0.9,0.9,1.1,,,,,,,,,,,,,,,,Util
Batter,Luis Rengifo,MIL,89.0,360,9.0,38.0,39.0,10.0,6.50%,18.60%,0.136,0.29,0.252,0.307,0.389,0.304,95.0,0.5,-1.9,0.7,1.1,,,,,,,,,,,,,,,,Util
Batter,Danny Jansen,TEX,80.0,307,12.0,37.0,36.0,1.0,10.60%,22.90%,0.181,0.253,0.221,0.314,0.403,0.314,102.0,-0.8,0.1,4.6,1.1,,,,,,,,,,,,,,,,Util
Batter,Jesús Sánchez,TOR,88.0,369,13.0,44.0,45.0,8.0,8.60%,23.80%,0.179,0.298,0.249,0.317,0.428,0.322,107.0,0.0,3.1,-5.1,1.1,,,,,,,,,,,,,,,,Util
Batter,Ramón Laureano,SDP,103.0,420,16.0,48.0,52.0,7.0,7.10%,27.10%,0.183,0.302,0.243,0.307,0.426,0.317,107.0,-0.7,2.7,-6.0,1.1,,,,,,,,,,,,,,,,Util
Batter,Christian Walker,HOU,124.0,511,23.0,60.0,68.0,3.0,8.50%,26.20%,0.2,0.27,0.23,0.305,0.43,0.317,104.0,-1.2,1.0,-7.9,1.1,,,,,,,,,,,,,,,,Util
Batter,Jose Trevino,CIN,51.0,200,6.0,21.0,22.0,1.0,6.00%,15.40%,0.142,0.269,0.249,0.298,0.391,0.3,86.0,-0.4,-3.7,3.6,1.1,,,,,,,,,,,,,,,,Util
Batter,Kyle Isbel,KCR,101.0,382,8.0,42.0,39.0,8.0,6.40%,19.70%,0.134,0.295,0.25,0.303,0.384,0.3,88.0,0.7,-4.7,2.0,1.1,,,,,,,,,,,,,,,,Util
Batter,Jake Rogers,DET,51.0,198,6.0,21.0,21.0,1.0,8.10%,28.80%,0.16,0.269,0.211,0.281,0.371,0.285,81.0,-0.2,-4.7,4.5,1.1,,,,,,,,,,,,,,,,Util
Batter,Brett Baty,NYM,88.0,357,14.0,41.0,44.0,4.0,8.50%,24.50%,0.173,0.297,0.248,0.315,0.421,0.32,108.0,-0.4,2.9,-4.4,1.1,,,,,,,,,,,,,,,,Util
Batter,Cedric Mullins,TBR,97.0,412,12.0,46.0,45.0,17.0,9.00%,23.50%,0.155,0.272,0.227,0.301,0.382,0.3,90.0,0.5,-4.3,0.4,1.0,,,,,,,,,,,,,,,,Util
Batter,Luisangel Acuña,CHW,93.0,355,5.0,38.0,34.0,19.0,6.10%,17.40%,0.106,0.301,0.259,0.307,0.364,0.295,88.0,1.6,-3.6,1.6,1.0,,,,,,,,,,,,,,,,Util
Batter,Garrett Mitchell,MIL,78.0,304,9.0,34.0,34.0,9.0,9.60%,29.00%,0.159,0.318,0.239,0.317,0.398,0.313,101.0,0.3,0.6,-0.5,1.0,,,,,,,,,,,,,,,,Util
Batter,Jordan Lawlar,ARI,96.0,364,8.0,43.0,38.0,13.0,8.80%,25.50%,0.145,0.313,0.242,0.317,0.387,0.308,96.0,1.0,-0.8,-1.1,1.0,,,,,,,,,,,,,,,,Util
Batter,Nolan Gorman,STL,106.0,442,20.0,50.0,56.0,3.0,10.30%,32.20%,0.194,0.282,0.218,0.301,0.412,0.309,100.0,-1.5,-1.7,-2.9,1.0,,,,,,,,,,,,,,,,Util
Batter,Marcelo Mayer,BOS,89.0,355,10.0,38.0,41.0,4.0,7.30%,22.80%,0.164,0.303,0.251,0.31,0.415,0.314,96.0,-0.1,-1.5,-0.7,1.0,,,,,,,,,,,,,,,,Util
Batter,Isaac Collins,KCR,89.0,352,7.0,41.0,36.0,11.0,12.30%,21.40%,0.142,0.301,0.245,0.346,0.387,0.325,105.0,0.3,2.4,-4.8,1.0,,,,,,,,,,,,,,,,Util
Batter,Dylan Beavers,BAL,69.0,282,8.0,34.0,31.0,7.0,12.10%,23.10%,0.156,0.297,0.243,0.339,0.399,0.325,110.0,0.0,3.4,-3.3,1.0,,,,,,,,,,,,,,,,Util
Batter,Nick Fortes,TBR,71.0,282,7.0,28.0,30.0,2.0,5.90%,18.20%,0.136,0.263,0.234,0.29,0.37,0.289,83.0,-0.2,-5.9,3.0,1.0,,,,,,,,,,,,,,,,Util
Batter,Tyler O'Neill,BAL,90.0,380,17.0,47.0,50.0,4.0,10.30%,28.70%,0.198,0.289,0.233,0.318,0.431,0.324,109.0,-0.2,3.8,-7.2,1.0,,,,,,,,,,,,,,,,Util
Batter,Gavin Lux,TBR,80.0,334,5.0,34.0,31.0,2.0,10.30%,22.10%,0.114,0.315,0.25,0.33,0.364,0.308,96.0,-0.4,-1.9,0.0,1.0,,,,,,,,,,,,,,,,Util
Batter,Victor Caratini,MIN,77.0,318,9.0,35.0,37.0,1.0,7.70%,18.00%,0.145,0.289,0.257,0.325,0.402,0.319,103.0,-1.2,0.1,-1.5,1.0,,,,,,,,,,,,,,,,Util
Batter,Nasim Nuñez,WSN,77.0,343,5.0,40.0,28.0,25.0,10.10%,22.80%,0.096,0.294,0.233,0.314,0.329,0.289,83.0,1.5,-5.2,3.2,1.0,,,,,,,,,,,,,,,,Util
Batter,Dylan Crews,WSN,88.0,360,12.0,41.0,41.0,16.0,7.20%,21.40%,0.166,0.282,0.243,0.307,0.409,0.311,99.0,0.8,0.4,-3.1,0.9,,,,,,,,,,,,,,,,Util
Batter,Davis Schneider,TOR,74.0,307,11.0,37.0,34.0,4.0,12.80%,28.50%,0.176,0.278,0.217,0.325,0.394,0.317,104.0,-0.4,1.0,-2.5,0.9,,,,,,,,,,,,,,,,Util
Batter,Joc Pederson,TEX,81.0,332,15.0,41.0,43.0,3.0,11.20%,23.10%,0.202,0.274,0.24,0.338,0.442,0.339,120.0,-0.7,7.0,-9.3,0.9,,,,,,,,,,,,,,,,Util
Batter,Marcell Ozuna,PIT,105.0,451,19.0,55.0,60.0,1.0,12.20%,24.20%,0.192,0.288,0.244,0.339,0.436,0.337,115.0,-1.6,6.3,-12.2,0.9,,,,,,,,,,,,,,,,Util
Batter,Yoán Moncada,LAA,85.0,357,10.0,38.0,40.0,1.0,8.80%,27.80%,0.157,0.312,0.24,0.314,0.397,0.31,97.0,-0.8,-2.0,-1.4,0.9,,,,,,,,,,,,,,,,Util
Batter,Tyler Stephenson,CIN,97.0,399,13.0,42.0,44.0,1.0,9.60%,27.80%,0.157,0.301,0.234,0.313,0.39,0.308,92.0,-0.8,-4.7,3.3,0.9,,,,,,,,,,,,,,,,Util
Batter,Adolis García,PHI,120.0,500,22.0,59.0,67.0,10.0,7.00%,26.10%,0.196,0.28,0.237,0.296,0.433,0.314,99.0,0.1,-0.4,-7.5,0.9,,,,,,,,,,,,,,,,Util
Batter,José Caballero,NYY,75.0,302,5.0,33.0,28.0,29.0,10.00%,25.70%,0.114,0.293,0.224,0.314,0.338,0.292,87.0,1.9,-2.7,1.0,0.9,,,,,,,,,,,,,,,,Util
Batter,Chandler Simpson,TBR,88.0,353,2.0,38.0,30.0,32.0,6.00%,11.40%,0.073,0.316,0.283,0.327,0.356,0.301,91.0,2.8,-0.8,-2.8,0.9,,,,,,,,,,,,,,,,Util
Batter,Cam Smith,HOU,100.0,407,10.0,44.0,43.0,6.0,8.60%,25.80%,0.147,0.31,0.243,0.316,0.389,0.309,98.0,0.1,-0.9,-4.7,0.9,,,,,,,,,,,,,,,,Util
Batter,Brady House,WSN,108.0,430,13.0,42.0,48.0,5.0,4.60%,26.60%,0.145,0.308,0.244,0.283,0.39,0.291,85.0,-0.2,-7.9,1.9,0.9,,,,,,,,,,,,,,,,Util
Batter,Austin Martin,MIN,70.0,291,3.0,33.0,25.0,10.0,11.20%,17.60%,0.099,0.309,0.257,0.348,0.356,0.315,101.0,0.4,0.7,-2.4,0.9,,,,,,,,,,,,,,,,Util
Batter,Gabriel Arias,CLE,90.0,360,10.0,35.0,38.0,7.0,6.30%,31.00%,0.146,0.311,0.228,0.284,0.374,0.286,83.0,0.3,-7.0,2.9,0.8,,,,,,,,,,,,,,,,Util
Batter,Henry Davis,PIT,59.0,232,7.0,24.0,25.0,3.0,8.50%,26.20%,0.146,0.279,0.222,0.299,0.369,0.294,85.0,-0.3,-4.4,5.3,0.8,,,,,,,,,,,,,,,,Util
Batter,Mike Yastrzemski,ATL,89.0,379,14.0,46.0,44.0,4.0,10.80%,23.70%,0.18,0.272,0.23,0.319,0.41,0.317,102.0,-0.3,0.8,-5.1,0.8,,,,,,,,,,,,,,,,Util
Batter,Miguel Amaya,CHC,68.0,261,8.0,29.0,29.0,2.0,7.20%,20.40%,0.151,0.278,0.24,0.306,0.391,0.305,96.0,-0.6,-1.8,2.7,0.8,,,,,,,,,,,,,,,,Util
