POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
Batter,Addison Barger,TOR,103,439,17,53,59,3,8.70%,23.80%,0.191,0.295,0.249,0.319,0.439,0.327,110,-0.5,4.8,-3.3,1.7,,,,,,,,,,,,,,,
Batter,Daulton Varsho,TOR,117,519,23,66,65,7,8.00%,25.70%,0.204,0.263,0.226,0.293,0.43,0.311,99,0,-0.3,-1.2,1.7,,,,,,,,,,,,,,,
Batter,Brayan Rocchio,CLE,103,393,8,43,39,10,8.50%,18.60%,0.135,0.281,0.242,0.315,0.377,0.305,96,-0.1,-2.1,4.7,1.7,,,,,,,,,,,,,,,
Batter,Ernie Clement,TOR,118,467,9,51,52,7,4.60%,10.00%,0.13,0.287,0.274,0.311,0.404,0.31,99,0.3,-0.5,0.5,1.6,,,,,,,,,,,,,,,
Batter,Josh Jung,TEX,105,431,16,47,53,4,5.50%,25.20%,0.172,0.309,0.254,0.3,0.426,0.313,102,-1.2,-0.3,1.4,1.6,,,,,,,,,,,,,,,
Batter,Konnor Griffin,PIT,89,360,9,41,39,15,6.70%,23.80%,0.135,0.324,0.259,0.319,0.394,0.312,98,0.5,-0.5,4.4,1.6,,,,,,,,,,,,,,,
Batter,Jake Meyers,HOU,103,398,9,45,42,11,8.00%,20.90%,0.133,0.304,0.253,0.32,0.386,0.311,99,0.6,0.2,2.1,1.6,,,,,,,,,,,,,,,
Batter,Salvador Perez,KCR,131,563,26,68,83,0,5.00%,20.10%,0.199,0.278,0.256,0.303,0.454,0.322,104,-3.3,-0.9,2.5,1.6,,,,,,,,,,,,,,,
Batter,Luis García Jr.,WSN,102,423,14,47,52,12,5.50%,15.40%,0.165,0.296,0.274,0.316,0.439,0.325,108,0,4,-2.4,1.6,,,,,,,,,,,,,,,
Batter,Brooks Lee,MIN,111,434,13,49,50,4,6.70%,16.70%,0.153,0.276,0.252,0.306,0.405,0.309,96,-0.8,-2.7,3.4,1.6,,,,,,,,,,,,,,,
Batter,Matt McLain,CIN,110,484,15,60,51,13,9.70%,27.50%,0.156,0.301,0.234,0.316,0.39,0.311,93,0.4,-3.3,2.7,1.6,,,,,,,,,,,,,,,
Batter,Luis Robert Jr.,NYM,115,489,18,58,60,26,7.30%,28.80%,0.17,0.295,0.232,0.295,0.402,0.301,95,0.7,-2.3,1.6,1.6,,,,,,,,,,,,,,,
Batter,Carson Kelly,CHC,81,319,11,36,37,1,9.20%,20.50%,0.159,0.268,0.236,0.314,0.396,0.311,100,-1.1,-1,7.6,1.6,,,,,,,,,,,,,,,
Batter,Sal Frelick,MIL,108,457,8,51,47,13,8.30%,14.40%,0.119,0.304,0.271,0.337,0.39,0.32,106,0.7,3.7,-3.6,1.6,,,,,,,,,,,,,,,
Batter,Daylen Lile,WSN,116,495,11,56,60,13,6.70%,17.40%,0.159,0.31,0.271,0.326,0.43,0.327,110,0.6,6.4,-7.7,1.6,,,,,,,,,,,,,,,
Batter,Mike Trout,LAA,93,418,19,56,51,3,13.20%,30.60%,0.211,0.299,0.232,0.341,0.443,0.337,116,-1,6.8,-6.2,1.5,,,,,,,,,,,,,,,
Batter,Jo Adell,LAA,113,460,26,56,66,7,7.00%,26.90%,0.234,0.271,0.237,0.3,0.471,0.33,110,-0.4,5.3,-6.2,1.5,,,,,,,,,,,,,,,
Batter,Colton Cowser,BAL,102,405,16,48,49,10,9.80%,30.90%,0.182,0.303,0.23,0.313,0.412,0.316,103,0.4,2,-1.1,1.5,,,,,,,,,,,,,,,
Batter,Matt Wallner,MIN,96,410,19,52,56,4,10.70%,30.90%,0.219,0.296,0.229,0.329,0.448,0.337,116,-0.7,7,-6.3,1.5,,,,,,,,,,,,,,,
Batter,Carter Jensen,KCR,77,308,10,35,36,3,10.10%,24.60%,0.174,0.305,0.248,0.327,0.421,0.326,106,-0.2,1.8,2.1,1.5,,,,,,,,,,,,,,,
Batter,Jonathan India,KCR,111,474,11,55,46,5,10.30%,19.00%,0.139,0.291,0.248,0.34,0.388,0.323,104,-0.1,2,-3.8,1.5,,,,,,,,,,,,,,,
Batter,Cole Young,SEA,90,341,6,38,33,5,10.30%,17.30%,0.126,0.28,0.243,0.329,0.368,0.31,104,-0.1,1.7,1,1.5,,,,,,,,,,,,,,,
Batter,Trevor Story,BOS,109,482,17,59,57,17,6.00%,26.70%,0.167,0.308,0.247,0.298,0.414,0.308,92,1.2,-3.1,0.8,1.5,,,,,,,,,,,,,,,
Batter,Jonathan Aranda,TBR,106,472,16,60,55,2,10.70%,26.50%,0.171,0.328,0.257,0.346,0.428,0.338,116,-2.1,6.9,-9,1.5,,,,,,,,,,,,,,,
Batter,Jake Burger,TEX,118,503,25,61,74,2,5.70%,24.80%,0.21,0.285,0.248,0.3,0.458,0.325,110,-0.7,5.1,-8.3,1.4,,,,,,,,,,,,,,,
Batter,Teoscar Hernández,LAD,133,548,26,69,80,6,6.60%,26.40%,0.206,0.305,0.255,0.31,0.461,0.33,112,-1.2,6.9,-11,1.4,,,,,,,,,,,,,,,
Batter,Bryan Reynolds,PIT,136,606,20,72,74,5,8.60%,24.40%,0.168,0.311,0.254,0.325,0.422,0.325,106,-0.6,3.9,-10,1.4,,,,,,,,,,,,,,,
Batter,J.T. Realmuto,PHI,98,392,12,43,45,5,6.50%,24.10%,0.155,0.3,0.246,0.304,0.4,0.306,93,-0.5,-3.5,9.6,1.4,,,,,,,,,,,,,,,
Batter,Willson Contreras,BOS,105,456,19,58,62,4,9.60%,25.40%,0.198,0.301,0.248,0.338,0.447,0.341,115,-1.2,7,-8.9,1.4,,,,,,,,,,,,,,,
Batter,Heliot Ramos,SFG,123,537,19,64,66,6,7.80%,24.10%,0.172,0.309,0.256,0.323,0.428,0.326,111,-0.8,6.2,-10.3,1.4,,,,,,,,,,,,,,,
Batter,Ha-Seong Kim,ATL,89,361,8,41,37,13,10.90%,18.40%,0.13,0.284,0.245,0.332,0.374,0.312,99,0.5,0,1.7,1.4,,,,,,,,,,,,,,,
Batter,Sal Stewart,CIN,97,416,15,51,57,6,8.50%,19.10%,0.182,0.305,0.271,0.337,0.452,0.342,115,-0.3,7.1,-7.4,1.4,,,,,,,,,,,,,,,
Batter,Christian Yelich,MIL,109,476,16,58,60,12,11.10%,23.90%,0.166,0.316,0.258,0.345,0.424,0.334,115,1.2,9.7,-12,1.4,,,,,,,,,,,,,,,
Batter,Chase DeLauter,CLE,115,471,14,50,51,3,9.40%,18.90%,0.156,0.287,0.251,0.325,0.407,0.321,107,-0.6,3.1,-5.9,1.4,,,,,,,,,,,,,,,
Batter,Kyle Teel,CHW,74,313,9,35,33,4,11.10%,25.10%,0.141,0.314,0.248,0.336,0.388,0.321,105,-0.4,1.5,0.4,1.3,,,,,,,,,,,,,,,
Batter,Nick Gonzales,PIT,91,368,7,39,40,3,6.50%,20.10%,0.137,0.316,0.263,0.318,0.401,0.313,98,-0.3,-1.1,1.8,1.3,,,,,,,,,,,,,,,
Batter,Kerry Carpenter,DET,93,422,20,57,54,3,6.60%,23.70%,0.219,0.29,0.254,0.311,0.473,0.335,115,-0.6,6.8,-8.4,1.3,,,,,,,,,,,,,,,
Batter,Justin Crawford,PHI,97,363,5,42,35,18,7.60%,20.80%,0.109,0.328,0.267,0.325,0.376,0.309,95,1.2,-0.8,1.5,1.3,,,,,,,,,,,,,,,
Batter,Spencer Horwitz,PIT,96,399,10,46,44,2,12.00%,18.30%,0.151,0.307,0.264,0.359,0.416,0.34,117,-1,6.9,-7.4,1.3,,,,,,,,,,,,,,,
Batter,Willi Castro,COL,116,509,12,61,52,13,7.90%,22.50%,0.146,0.308,0.251,0.326,0.397,0.317,89,0.4,-6,1.7,1.3,,,,,,,,,,,,,,,
Batter,Kyle Manzardo,CLE,96,415,20,51,58,2,10.30%,23.60%,0.216,0.267,0.236,0.322,0.453,0.334,116,-0.6,7.1,-8.8,1.3,,,,,,,,,,,,,,,
Batter,Pedro Pagés,STL,69,270,8,27,29,1,7.00%,25.30%,0.143,0.285,0.231,0.29,0.373,0.29,86,-0.7,-5.2,5.4,1.3,,,,,,,,,,,,,,,
Batter,Brenton Doyle,COL,119,484,16,55,56,17,6.50%,26.50%,0.163,0.306,0.245,0.297,0.408,0.305,81,1.1,-9.7,5.9,1.3,,,,,,,,,,,,,,,
Batter,Jac Caglianone,KCR,94,391,17,48,54,2,7.60%,21.10%,0.199,0.286,0.256,0.32,0.454,0.333,111,-0.4,4.5,-5.7,1.3,,,,,,,,,,,,,,,
Batter,Brandon Marsh,PHI,102,408,11,46,45,9,9.90%,28.30%,0.153,0.337,0.252,0.329,0.405,0.321,104,0.4,2.3,-3.6,1.3,,,,,,,,,,,,,,,
Batter,Agustín Ramírez,MIA,96,422,17,51,56,10,7.50%,19.10%,0.192,0.274,0.25,0.312,0.442,0.325,107,-0.2,3.2,-5.8,1.3,,,,,,,,,,,,,,,
Batter,Harrison Bader,SFG,101,398,11,43,43,11,6.30%,23.70%,0.141,0.304,0.248,0.305,0.389,0.303,96,0.1,-1.9,0.6,1.2,,,,,,,,,,,,,,,
Batter,Jacob Young,WSN,89,337,4,35,29,18,7.00%,18.50%,0.09,0.305,0.253,0.314,0.343,0.292,86,1.7,-4.1,4.8,1.2,,,,,,,,,,,,,,,
Batter,Ryan McMahon,NYY,101,408,14,45,45,3,11.30%,32.20%,0.162,0.286,0.211,0.304,0.373,0.298,91,-0.4,-4.8,2.7,1.2,,,,,,,,,,,,,,,
Batter,Ryan O'Hearn,PIT,106,447,13,52,55,3,9.00%,18.40%,0.157,0.307,0.269,0.34,0.426,0.333,112,-1.2,5,-8.1,1.2,,,,,,,,,,,,,,,
Batter,Eugenio Suárez,CIN,135,563,32,72,83,3,8.50%,29.50%,0.237,0.277,0.234,0.31,0.471,0.335,110,-2.1,4.6,-11.6,1.2,,,,,,,,,,,,,,,
Batter,Luis Torrens,NYM,51,202,6,22,22,1,6.70%,22.50%,0.147,0.285,0.239,0.296,0.387,0.298,93,-0.3,-1.9,5.9,1.2,,,,,,,,,,,,,,,
Batter,Samuel Basallo,BAL,89,364,16,43,47,2,8.30%,24.30%,0.197,0.279,0.241,0.309,0.438,0.322,108,-0.4,2.9,-2.8,1.2,,,,,,,,,,,,,,,
Batter,Jared Triolo,PIT,102,415,8,43,39,11,10.80%,23.20%,0.119,0.305,0.241,0.328,0.36,0.307,94,0.1,-3,0.9,1.2,,,,,,,,,,,,,,,
Batter,Kyle Stowers,MIA,92,389,16,47,50,3,9.50%,28.40%,0.199,0.303,0.241,0.32,0.44,0.328,109,-0.2,3.9,-5.3,1.2,,,,,,,,,,,,,,,
Batter,Spencer Torkelson,DET,135,570,23,67,72,2,11.00%,26.30%,0.197,0.275,0.228,0.32,0.425,0.323,106,-0.6,3.7,-12,1.2,,,,,,,,,,,,,,,
Batter,Sean Murphy,ATL,78,316,12,36,38,1,9.90%,27.10%,0.182,0.267,0.219,0.31,0.401,0.311,98,-0.5,-1.1,0.9,1.2,,,,,,,,,,,,,,,
Batter,Mark Vientos,NYM,103,432,20,53,60,1,7.50%,26.00%,0.208,0.294,0.248,0.31,0.456,0.33,115,-1.2,6.4,-9.5,1.2,,,,,,,,,,,,,,,
Batter,Parker Meadows,DET,104,412,10,45,42,10,9.50%,25.20%,0.149,0.287,0.228,0.304,0.377,0.299,90,0.6,-4.3,1.3,1.1,,,,,,,,,,,,,,,
Batter,Josh Bell,MIN,110,487,18,61,59,2,10.40%,19.00%,0.177,0.28,0.252,0.335,0.429,0.333,113,-1.8,5.6,-11.2,1.1,,,,,,,,,,,,,,,
Batter,Ke'Bryan Hayes,CIN,109,425,9,45,42,9,6.90%,20.20%,0.119,0.296,0.249,0.305,0.368,0.295,83,0.4,-8.4,5.3,1.1,,,,,,,,,,,,,,,
Batter,Connor Norby,MIA,114,442,13,49,49,8,7.40%,27.10%,0.155,0.308,0.241,0.303,0.397,0.305,93,-0.3,-3.8,0.1,1.1,,,,,,,,,,,,,,,
Batter,Victor Scott II,STL,111,420,7,45,37,26,8.00%,21.90%,0.101,0.281,0.227,0.298,0.328,0.28,79,2.6,-7.6,4.5,1.1,,,,,,,,,,,,,,,
Batter,Tommy Edman,LAD,80,324,9,37,38,6,6.50%,17.70%,0.151,0.279,0.25,0.305,0.401,0.308,97,0.3,-0.9,0.9,1.1,,,,,,,,,,,,,,,
Batter,Luis Rengifo,MIL,89,360,9,38,39,10,6.50%,18.60%,0.136,0.29,0.252,0.307,0.389,0.304,95,0.5,-1.9,0.7,1.1,,,,,,,,,,,,,,,
Batter,Danny Jansen,TEX,80,307,12,37,36,1,10.60%,22.90%,0.181,0.253,0.221,0.314,0.403,0.314,102,-0.8,0.1,4.6,1.1,,,,,,,,,,,,,,,
Batter,Jesús Sánchez,TOR,88,369,13,44,45,8,8.60%,23.80%,0.179,0.298,0.249,0.317,0.428,0.322,107,0,3.1,-5.1,1.1,,,,,,,,,,,,,,,
Batter,Ramón Laureano,SDP,103,420,16,48,52,7,7.10%,27.10%,0.183,0.302,0.243,0.307,0.426,0.317,107,-0.7,2.7,-6,1.1,,,,,,,,,,,,,,,
Batter,Christian Walker,HOU,124,511,23,60,68,3,8.50%,26.20%,0.2,0.27,0.23,0.305,0.43,0.317,104,-1.2,1,-7.9,1.1,,,,,,,,,,,,,,,
Batter,Jose Trevino,CIN,51,200,6,21,22,1,6.00%,15.40%,0.142,0.269,0.249,0.298,0.391,0.3,86,-0.4,-3.7,3.6,1.1,,,,,,,,,,,,,,,
Batter,Kyle Isbel,KCR,101,382,8,42,39,8,6.40%,19.70%,0.134,0.295,0.25,0.303,0.384,0.3,88,0.7,-4.7,2,1.1,,,,,,,,,,,,,,,
Batter,Jake Rogers,DET,51,198,6,21,21,1,8.10%,28.80%,0.16,0.269,0.211,0.281,0.371,0.285,81,-0.2,-4.7,4.5,1.1,,,,,,,,,,,,,,,
Batter,Brett Baty,NYM,88,357,14,41,44,4,8.50%,24.50%,0.173,0.297,0.248,0.315,0.421,0.32,108,-0.4,2.9,-4.4,1.1,,,,,,,,,,,,,,,
Batter,Cedric Mullins,TBR,97,412,12,46,45,17,9.00%,23.50%,0.155,0.272,0.227,0.301,0.382,0.3,90,0.5,-4.3,0.4,1,,,,,,,,,,,,,,,
Batter,Luisangel Acuña,CHW,93,355,5,38,34,19,6.10%,17.40%,0.106,0.301,0.259,0.307,0.364,0.295,88,1.6,-3.6,1.6,1,,,,,,,,,,,,,,,
Batter,Garrett Mitchell,MIL,78,304,9,34,34,9,9.60%,29.00%,0.159,0.318,0.239,0.317,0.398,0.313,101,0.3,0.6,-0.5,1,,,,,,,,,,,,,,,
Batter,Jordan Lawlar,ARI,96,364,8,43,38,13,8.80%,25.50%,0.145,0.313,0.242,0.317,0.387,0.308,96,1,-0.8,-1.1,1,,,,,,,,,,,,,,,
Batter,Nolan Gorman,STL,106,442,20,50,56,3,10.30%,32.20%,0.194,0.282,0.218,0.301,0.412,0.309,100,-1.5,-1.7,-2.9,1,,,,,,,,,,,,,,,
Batter,Marcelo Mayer,BOS,89,355,10,38,41,4,7.30%,22.80%,0.164,0.303,0.251,0.31,0.415,0.314,96,-0.1,-1.5,-0.7,1,,,,,,,,,,,,,,,
Batter,Isaac Collins,KCR,89,352,7,41,36,11,12.30%,21.40%,0.142,0.301,0.245,0.346,0.387,0.325,105,0.3,2.4,-4.8,1,,,,,,,,,,,,,,,
Batter,Dylan Beavers,BAL,69,282,8,34,31,7,12.10%,23.10%,0.156,0.297,0.243,0.339,0.399,0.325,110,0,3.4,-3.3,1,,,,,,,,,,,,,,,
Batter,Nick Fortes,TBR,71,282,7,28,30,2,5.90%,18.20%,0.136,0.263,0.234,0.29,0.37,0.289,83,-0.2,-5.9,3,1,,,,,,,,,,,,,,,
Batter,Tyler O'Neill,BAL,90,380,17,47,50,4,10.30%,28.70%,0.198,0.289,0.233,0.318,0.431,0.324,109,-0.2,3.8,-7.2,1,,,,,,,,,,,,,,,
Batter,Gavin Lux,TBR,80,334,5,34,31,2,10.30%,22.10%,0.114,0.315,0.25,0.33,0.364,0.308,96,-0.4,-1.9,0,1,,,,,,,,,,,,,,,
Batter,Victor Caratini,MIN,77,318,9,35,37,1,7.70%,18.00%,0.145,0.289,0.257,0.325,0.402,0.319,103,-1.2,0.1,-1.5,1,,,,,,,,,,,,,,,
Batter,Nasim Nuñez,WSN,77,343,5,40,28,25,10.10%,22.80%,0.096,0.294,0.233,0.314,0.329,0.289,83,1.5,-5.2,3.2,1,,,,,,,,,,,,,,,
Batter,Dylan Crews,WSN,88,360,12,41,41,16,7.20%,21.40%,0.166,0.282,0.243,0.307,0.409,0.311,99,0.8,0.4,-3.1,0.9,,,,,,,,,,,,,,,
Batter,Davis Schneider,TOR,74,307,11,37,34,4,12.80%,28.50%,0.176,0.278,0.217,0.325,0.394,0.317,104,-0.4,1,-2.5,0.9,,,,,,,,,,,,,,,
Batter,Joc Pederson,TEX,81,332,15,41,43,3,11.20%,23.10%,0.202,0.274,0.24,0.338,0.442,0.339,120,-0.7,7,-9.3,0.9,,,,,,,,,,,,,,,
Batter,Marcell Ozuna,PIT,105,451,19,55,60,1,12.20%,24.20%,0.192,0.288,0.244,0.339,0.436,0.337,115,-1.6,6.3,-12.2,0.9,,,,,,,,,,,,,,,
Batter,Yoán Moncada,LAA,85,357,10,38,40,1,8.80%,27.80%,0.157,0.312,0.24,0.314,0.397,0.31,97,-0.8,-2,-1.4,0.9,,,,,,,,,,,,,,,
Batter,Tyler Stephenson,CIN,97,399,13,42,44,1,9.60%,27.80%,0.157,0.301,0.234,0.313,0.39,0.308,92,-0.8,-4.7,3.3,0.9,,,,,,,,,,,,,,,
Batter,Adolis García,PHI,120,500,22,59,67,10,7.00%,26.10%,0.196,0.28,0.237,0.296,0.433,0.314,99,0.1,-0.4,-7.5,0.9,,,,,,,,,,,,,,,
Batter,José Caballero,NYY,75,302,5,33,28,29,10.00%,25.70%,0.114,0.293,0.224,0.314,0.338,0.292,87,1.9,-2.7,1,0.9,,,,,,,,,,,,,,,
Batter,Chandler Simpson,TBR,88,353,2,38,30,32,6.00%,11.40%,0.073,0.316,0.283,0.327,0.356,0.301,91,2.8,-0.8,-2.8,0.9,,,,,,,,,,,,,,,
Batter,Cam Smith,HOU,100,407,10,44,43,6,8.60%,25.80%,0.147,0.31,0.243,0.316,0.389,0.309,98,0.1,-0.9,-4.7,0.9,,,,,,,,,,,,,,,
Batter,Brady House,WSN,108,430,13,42,48,5,4.60%,26.60%,0.145,0.308,0.244,0.283,0.39,0.291,85,-0.2,-7.9,1.9,0.9,,,,,,,,,,,,,,,
Batter,Austin Martin,MIN,70,291,3,33,25,10,11.20%,17.60%,0.099,0.309,0.257,0.348,0.356,0.315,101,0.4,0.7,-2.4,0.9,,,,,,,,,,,,,,,
Batter,Gabriel Arias,CLE,90,360,10,35,38,7,6.30%,31.00%,0.146,0.311,0.228,0.284,0.374,0.286,83,0.3,-7,2.9,0.8,,,,,,,,,,,,,,,
Batter,Henry Davis,PIT,59,232,7,24,25,3,8.50%,26.20%,0.146,0.279,0.222,0.299,0.369,0.294,85,-0.3,-4.4,5.3,0.8,,,,,,,,,,,,,,,
Batter,Mike Yastrzemski,ATL,89,379,14,46,44,4,10.80%,23.70%,0.18,0.272,0.23,0.319,0.41,0.317,102,-0.3,0.8,-5.1,0.8,,,,,,,,,,,,,,,
Batter,Miguel Amaya,CHC,68,261,8,29,29,2,7.20%,20.40%,0.151,0.278,0.24,0.306,0.391,0.305,96,-0.6,-1.8,2.7,0.8,,,,,,,,,,,,,,,
Batter,Nathan Lukes,TOR,61,253,5,30,26,3,8.30%,15.80%,0.134,0.309,0.273,0.336,0.406,0.324,108,-0.3,2.2,-2.7,0.8,,,,,,,,,,,,,,,
Batter,Joey Bart,PIT,62,242,6,26,25,2,9.60%,27.70%,0.135,0.316,0.239,0.323,0.374,0.309,95,-0.6,-2,3.2,0.8,,,,,,,,,,,,,,,
Batter,Kyle Higashioka,TEX,48,188,8,21,23,2,5.90%,24.50%,0.18,0.264,0.228,0.277,0.408,0.295,89,-0.6,-3,2,0.8,,,,,,,,,,,,,,,
Batter,Alek Thomas,ARI,86,334,8,36,38,6,5.60%,23.50%,0.145,0.301,0.246,0.293,0.392,0.298,88,1,-3.6,0.6,0.8,,,,,,,,,,,,,,,
Batter,Trevor Larnach,MIN,90,382,13,44,44,4,10.20%,23.90%,0.168,0.3,0.248,0.329,0.416,0.325,107,-0.7,2.7,-7.7,0.8,,,,,,,,,,,,,,,
Batter,Logan O'Hoppe,LAA,96,381,16,42,47,2,6.90%,28.20%,0.179,0.281,0.23,0.289,0.409,0.302,92,-1.3,-5.1,5.4,0.8,,,,,,,,,,,,,,,
Batter,Brooks Baldwin,CHW,67,264,9,29,31,5,6.80%,23.00%,0.164,0.299,0.252,0.307,0.416,0.313,100,0.2,0.2,-1.4,0.8,,,,,,,,,,,,,,,
Batter,J.C. Escarra,NYY,36,143,3,15,15,1,9.20%,19.30%,0.136,0.273,0.236,0.313,0.372,0.302,94,-0.2,-1.2,1.2,0.8,,,,,,,,,,,,,,,
Batter,Ramón Urías,STL,67,269,7,29,29,2,7.00%,21.60%,0.14,0.301,0.252,0.311,0.393,0.308,99,-0.5,-1,-0.2,0.8,,,,,,,,,,,,,,,
Batter,Jordan Walker,STL,109,442,13,47,49,8,7.70%,26.00%,0.156,0.309,0.245,0.309,0.401,0.31,100,0,-0.1,-6.9,0.8,,,,,,,,,,,,,,,
Batter,Max Muncy,ATH,75,300,9,32,34,3,6.20%,26.70%,0.153,0.304,0.239,0.296,0.392,0.3,88,-0.2,-4.3,1.6,0.8,,,,,,,,,,,,,,,
Batter,Lourdes Gurriel Jr.,ARI,91,386,12,45,50,6,5.80%,16.40%,0.166,0.293,0.268,0.316,0.434,0.324,107,-0.4,2.6,-7.9,0.8,,,,,,,,,,,,,,,
Batter,JJ Bleday,CIN,62,263,11,32,33,2,11.40%,22.40%,0.198,0.264,0.232,0.322,0.43,0.326,104,-0.5,0.9,-2.1,0.8,,,,,,,,,,,,,,,
Batter,Amed Rosario,NYY,54,228,4,24,24,4,4.30%,18.50%,0.12,0.314,0.268,0.305,0.388,0.302,93,0.7,-1.1,0.8,0.8,,,,,,,,,,,,,,,
Batter,Christopher Morel,MIA,78,319,13,36,40,6,9.60%,29.10%,0.193,0.286,0.227,0.308,0.42,0.316,100,0.3,0.5,-3.7,0.8,,,,,,,,,,,,,,,
Batter,Dalton Rushing,LAD,43,172,6,21,20,1,10.20%,28.00%,0.168,0.285,0.225,0.314,0.393,0.311,99,-0.2,-0.5,3.2,0.8,,,,,,,,,,,,,,,
Batter,Hunter Feduccia,TBR,55,218,4,21,19,1,11.50%,27.10%,0.115,0.285,0.213,0.307,0.328,0.285,80,-0.4,-5.5,4.3,0.7,,,,,,,,,,,,,,,
Batter,Josh Lowe,LAA,104,424,13,47,48,17,8.00%,26.90%,0.164,0.311,0.244,0.307,0.408,0.31,97,1.1,-0.5,-7.1,0.7,,,,,,,,,,,,,,,
Batter,Noelvi Marte,CIN,95,376,13,44,46,10,6.50%,22.00%,0.17,0.297,0.254,0.308,0.424,0.316,97,0.3,-0.9,-4.7,0.7,,,,,,,,,,,,,,,
Batter,Luis Campusano,SDP,53,208,7,24,24,1,9.40%,20.10%,0.16,0.281,0.246,0.322,0.406,0.318,107,-0.2,1.6,1.5,0.7,,,,,,,,,,,,,,,
Batter,Lane Thomas,KCR,95,414,13,50,46,15,8.10%,25.50%,0.163,0.294,0.237,0.307,0.4,0.308,94,0.4,-2.5,-4.9,0.7,,,,,,,,,,,,,,,
Batter,Romy Gonzalez,BOS,46,194,6,23,24,5,5.50%,24.60%,0.168,0.336,0.271,0.316,0.439,0.325,104,-0.1,0.8,-0.7,0.7,,,,,,,,,,,,,,,
Batter,Edouard Julien,COL,74,288,8,34,29,4,13.00%,28.70%,0.149,0.328,0.241,0.345,0.39,0.325,95,-0.4,-2.2,-0.7,0.7,,,,,,,,,,,,,,,
Batter,Spencer Steer,CIN,92,388,13,45,46,7,10.00%,21.30%,0.174,0.274,0.237,0.321,0.411,0.32,100,-0.3,-0.2,-6,0.7,,,,,,,,,,,,,,,
Batter,Colt Emerson,SEA,53,214,4,22,20,3,9.20%,22.10%,0.117,0.289,0.234,0.313,0.351,0.294,94,-0.2,-1.8,1,0.7,,,,,,,,,,,,,,,
Batter,Graham Pauley,MIA,66,259,8,29,28,3,8.80%,19.90%,0.157,0.273,0.238,0.311,0.395,0.309,96,-0.3,-1.6,-0.5,0.7,,,,,,,,,,,,,,,
Batter,Thomas Saggese,STL,59,242,5,24,25,3,6.10%,24.50%,0.129,0.315,0.25,0.302,0.379,0.298,92,-0.1,-2.5,1,0.7,,,,,,,,,,,,,,,
Batter,Zach McKinstry,DET,79,320,6,34,31,10,8.80%,21.70%,0.138,0.286,0.234,0.308,0.372,0.299,90,0.9,-2.8,-1.7,0.7,,,,,,,,,,,,,,,
Batter,Sung-Mun Song,SDP,66,269,6,28,27,6,7.20%,16.00%,0.12,0.277,0.247,0.304,0.367,0.293,90,0,-3.2,0.7,0.7,,,,,,,,,,,,,,,
Batter,Jorge Soler,LAA,102,440,19,52,57,1,10.30%,27.10%,0.199,0.274,0.228,0.314,0.427,0.322,105,-1.6,1.2,-9.8,0.7,,,,,,,,,,,,,,,
Batter,Giancarlo Stanton,NYY,82,347,21,45,53,1,9.30%,30.60%,0.242,0.271,0.23,0.304,0.471,0.33,113,-1.3,4,-9.6,0.7,,,,,,,,,,,,,,,
Batter,Carson Williams,TBR,94,357,12,38,38,11,8.30%,35.20%,0.162,0.276,0.198,0.27,0.36,0.276,74,0.3,-10.6,4.7,0.7,,,,,,,,,,,,,,,
Batter,Andrew Vaughn,MIL,118,495,18,55,61,1,7.30%,20.40%,0.173,0.281,0.248,0.309,0.422,0.317,104,-1.7,0.5,-10.6,0.6,,,,,,,,,,,,,,,
Batter,Christian Moore,LAA,63,250,7,26,26,4,9.00%,29.90%,0.147,0.309,0.23,0.304,0.377,0.298,89,-0.1,-3.3,1,0.6,,,,,,,,,,,,,,,
Batter,Reese McGuire,CHW,36,141,4,14,15,1,6.20%,23.00%,0.134,0.279,0.233,0.285,0.367,0.285,81,-0.3,-3.5,3.2,0.6,,,,,,,,,,,,,,,
Batter,Owen Caissie,MIA,81,313,10,35,36,3,9.80%,30.20%,0.172,0.32,0.239,0.318,0.411,0.317,102,-0.3,0.3,-4.5,0.6,,,,,,,,,,,,,,,
Batter,Keibert Ruiz,WSN,77,324,9,34,38,2,5.00%,11.60%,0.145,0.263,0.255,0.298,0.4,0.303,93,-0.9,-3.6,5.1,0.6,,,,,,,,,,,,,,,
Batter,Drew Millas,WSN,38,150,3,15,14,3,8.10%,16.90%,0.12,0.281,0.245,0.31,0.365,0.296,88,0.1,-2,2.8,0.6,,,,,,,,,,,,,,,
Batter,Harry Ford,WSN,46,189,4,21,18,3,11.70%,23.00%,0.13,0.284,0.229,0.33,0.359,0.308,97,-0.1,-0.8,0.7,0.6,,,,,,,,,,,,,,,
Batter,Liam Hicks,MIA,64,269,4,28,26,1,11.20%,16.20%,0.109,0.285,0.247,0.344,0.356,0.314,100,-0.6,-0.7,-2.4,0.6,,,,,,,,,,,,,,,
Batter,Denzel Clarke,ATH,93,350,7,39,34,11,7.60%,32.60%,0.136,0.326,0.226,0.295,0.362,0.289,81,0.8,-7,1.1,0.6,,,,,,,,,,,,,,,
