POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
Batter,Adley Rutschman,BAL,125,545,17,68,67,1,11.40%,15.60%,0.166,0.277,0.255,0.343,0.421,0.334,116,-1.3,8.8,5.3,3.6,,,,,,,,,,,,,,,
Batter,Bryce Harper,PHI,135,598,27,83,87,9,12.50%,21.40%,0.222,0.312,0.273,0.368,0.495,0.368,136,-0.2,25.4,-10.7,3.5,,,,,,,,,,,,,,,
Batter,Jeremy Peña,HOU,133,599,18,79,64,16,5.90%,17.60%,0.158,0.307,0.273,0.326,0.43,0.328,111,1.2,8.8,5,3.5,,,,,,,,,,,,,,,
Batter,Wyatt Langford,TEX,126,559,22,78,69,19,12.00%,22.60%,0.198,0.3,0.256,0.351,0.455,0.348,126,1.2,18.2,-3.2,3.5,,,,,,,,,,,,,,,
Batter,Nico Hoerner,CHC,143,602,8,67,61,24,6.50%,9.60%,0.107,0.304,0.285,0.339,0.392,0.321,107,2.2,7.3,6.5,3.5,,,,,,,,,,,,,,,
Batter,Gabriel Moreno,ARI,96,400,10,47,48,4,9.70%,17.00%,0.147,0.319,0.28,0.353,0.427,0.34,117,-0.1,8,9.1,3.4,,,,,,,,,,,,,,,
Batter,Bo Bichette,NYM,113,503,15,63,64,5,6.50%,16.30%,0.161,0.32,0.288,0.337,0.449,0.339,121,-0.2,12.6,3.6,3.4,,,,,,,,,,,,,,,
Batter,Manny Machado,SDP,136,591,26,75,86,9,8.10%,19.50%,0.197,0.295,0.268,0.329,0.465,0.34,122,-0.8,14.9,-2.1,3.3,,,,,,,,,,,,,,,
Batter,Matt Chapman,SFG,135,597,22,76,72,9,11.20%,24.70%,0.189,0.286,0.238,0.33,0.427,0.33,114,-0.5,9.3,3.1,3.3,,,,,,,,,,,,,,,
Batter,Willy Adames,SFG,142,599,23,70,72,11,10.90%,24.70%,0.185,0.278,0.233,0.321,0.418,0.321,108,-0.1,5.6,6.4,3.3,,,,,,,,,,,,,,,
